"step","added_variable","auc"
0,"Baseline",0.813876164187628
0,"Baseline",0.81387052335648
0,"Baseline",0.813922607387534
0,"Baseline",0.813859818502767
0,"Baseline",0.813848348931696
0,"Baseline",0.813893178256867
0,"Baseline",0.813929913233147
0,"Baseline",0.813889562796886
0,"Baseline",0.813917646833725
0,"Baseline",0.81393513424279
0,"Baseline",0.813909937816752
0,"Baseline",0.813947331663042
0,"Baseline",0.813898368344814
0,"Baseline",0.813911433951179
0,"Baseline",0.813938980426204
0,"Baseline",0.813892048425623
0,"Baseline",0.813833787190905
0,"Baseline",0.81391194178059
0,"Baseline",0.813883803036134
0,"Baseline",0.813869715824465
0,"Baseline",0.813886943966992
0,"Baseline",0.813888253381939
0,"Baseline",0.81387118222649
0,"Baseline",0.813914911452818
0,"Baseline",0.813869174694764
0,"Baseline",0.813886293422055
0,"Baseline",0.813880238715883
0,"Baseline",0.813874436140473
0,"Baseline",0.813901443864389
0,"Baseline",0.813908891236232
0,"Baseline",0.813877040698814
0,"Baseline",0.813904968937871
0,"Baseline",0.813887119982807
0,"Baseline",0.81389438658165
0,"Baseline",0.813917644455133
0,"Baseline",0.813961327298915
0,"Baseline",0.813885048229094
0,"Baseline",0.813881682521283
0,"Baseline",0.813887921568342
0,"Baseline",0.813935919178181
0,"Baseline",0.813917186576155
0,"Baseline",0.813900451991487
0,"Baseline",0.813877627021765
0,"Baseline",0.813939265857255
0,"Baseline",0.813819507313276
0,"Baseline",0.813951249204218
0,"Baseline",0.813922275573937
0,"Baseline",0.813896710466125
0,"Baseline",0.813941822843755
0,"Baseline",0.813863207996499
0,"Baseline",0.813878347735169
0,"Baseline",0.813839093829864
0,"Baseline",0.813893266264775
0,"Baseline",0.813951330076349
0,"Baseline",0.813888744561206
0,"Baseline",0.81390176259573
0,"Baseline",0.813915570322828
0,"Baseline",0.813928179239511
0,"Baseline",0.813892502736713
0,"Baseline",0.813882632768824
0,"Baseline",0.813962893601808
0,"Baseline",0.813880690648381
0,"Baseline",0.813935324530158
0,"Baseline",0.81390818479438
0,"Baseline",0.813922310063522
0,"Baseline",0.813897621466896
0,"Baseline",0.813917799063619
0,"Baseline",0.813927270617332
0,"Baseline",0.813875008191871
0,"Baseline",0.813895832765643
0,"Baseline",0.813902566559857
0,"Baseline",0.813914880531121
0,"Baseline",0.813886546742113
0,"Baseline",0.813899896590233
0,"Baseline",0.81389571026815
0,"Baseline",0.81386466964134
0,"Baseline",0.813890661706433
0,"Baseline",0.813863384012314
0,"Baseline",0.813940274380303
0,"Baseline",0.813907018094959
0,"Baseline",0.813911651592355
0,"Baseline",0.813927534641054
0,"Baseline",0.813917917993223
0,"Baseline",0.813826756072679
0,"Baseline",0.813922993908749
0,"Baseline",0.813844264889073
0,"Baseline",0.813916458726974
0,"Baseline",0.813880751302479
0,"Baseline",0.813916178053108
0,"Baseline",0.813849070834396
0,"Baseline",0.813918676764101
0,"Baseline",0.813869420879045
0,"Baseline",0.813948403218779
0,"Baseline",0.813887607594186
0,"Baseline",0.813916804812124
0,"Baseline",0.813790356477884
0,"Baseline",0.813900589949828
0,"Baseline",0.813911846636907
0,"Baseline",0.813979592507595
0,"Baseline",0.813966348506823
1,"triglycerides",0.813976149495541
1,"triglycerides",0.813942696976349
1,"triglycerides",0.81395669023363
1,"triglycerides",0.813973185769793
1,"triglycerides",0.814042100718495
1,"triglycerides",0.813963642858317
1,"triglycerides",0.813923554067187
1,"triglycerides",0.813898095996019
1,"triglycerides",0.813861189761109
1,"triglycerides",0.813968947118684
1,"triglycerides",0.813975221844624
1,"triglycerides",0.813966799250024
1,"triglycerides",0.814053277722738
1,"triglycerides",0.813909280136039
1,"triglycerides",0.81402371658021
1,"triglycerides",0.813974196671432
1,"triglycerides",0.814024646609719
1,"triglycerides",0.814014537593325
1,"triglycerides",0.813946436123119
1,"triglycerides",0.813984136807788
1,"triglycerides",0.814043722918302
1,"triglycerides",0.814084489608179
1,"triglycerides",0.813953276953977
1,"triglycerides",0.814042483671822
1,"triglycerides",0.814019002210683
1,"triglycerides",0.813855726135072
1,"triglycerides",0.813964982005665
1,"triglycerides",0.813961200044238
1,"triglycerides",0.814012451568059
1,"triglycerides",0.813983699146843
1,"triglycerides",0.814040014693229
1,"triglycerides",0.814009176246748
1,"triglycerides",0.814011026791396
1,"triglycerides",0.813964587159378
1,"triglycerides",0.813891217107687
1,"triglycerides",0.813973195284161
1,"triglycerides",0.813936886075867
1,"triglycerides",0.814031442247327
1,"triglycerides",0.814003091808175
1,"triglycerides",0.81402716078156
1,"triglycerides",0.814036632335274
1,"triglycerides",0.814022686649834
1,"triglycerides",0.814027593685321
1,"triglycerides",0.813952189937391
1,"triglycerides",0.814026504290143
1,"triglycerides",0.813978568523699
1,"triglycerides",0.813969161191972
1,"triglycerides",0.813982940375965
1,"triglycerides",0.813976420655039
1,"triglycerides",0.814016878127944
1,"triglycerides",0.814058001606634
1,"triglycerides",0.814047366921388
1,"triglycerides",0.813886257743174
1,"triglycerides",0.813996905090141
1,"triglycerides",0.813980202616467
1,"triglycerides",0.814032679115215
1,"triglycerides",0.81398537843286
1,"triglycerides",0.814075572266423
1,"triglycerides",0.813948605399107
1,"triglycerides",0.813993180214924
1,"triglycerides",0.813980832943371
1,"triglycerides",0.814052932826885
1,"triglycerides",0.814038830154367
1,"triglycerides",0.813985794686476
1,"triglycerides",0.813926394106146
1,"triglycerides",0.813988687054461
1,"triglycerides",0.814078868995064
1,"triglycerides",0.813929690834786
1,"triglycerides",0.813989938193902
1,"triglycerides",0.81396711322418
1,"triglycerides",0.813988829769987
1,"triglycerides",0.813987381207402
1,"triglycerides",0.814049614690916
1,"triglycerides",0.814021885064299
1,"triglycerides",0.813927107683774
1,"triglycerides",0.813931929089945
1,"triglycerides",0.814017311031705
1,"triglycerides",0.813973718574422
1,"triglycerides",0.813949766152049
1,"triglycerides",0.813964239884932
1,"triglycerides",0.814078202989278
1,"triglycerides",0.813948001236716
1,"triglycerides",0.813987561980401
1,"triglycerides",0.814001288835368
1,"triglycerides",0.814060025788505
1,"triglycerides",0.813963680915791
1,"triglycerides",0.813962741371914
1,"triglycerides",0.813903978254264
1,"triglycerides",0.814016338187539
1,"triglycerides",0.814011326493999
1,"triglycerides",0.813934079337197
1,"triglycerides",0.813951806984064
1,"triglycerides",0.814027479512901
1,"triglycerides",0.814003940965552
1,"triglycerides",0.813948212931412
1,"triglycerides",0.814007901321386
1,"triglycerides",0.8140006775372
1,"triglycerides",0.813968573679725
1,"triglycerides",0.813911625427842
1,"triglycerides",0.813898169732374
2,"employment",0.81386327102919
2,"employment",0.813864072614725
2,"employment",0.813866051603346
2,"employment",0.813917764574033
2,"employment",0.813949616300747
2,"employment",0.813861049424175
2,"employment",0.813919393909617
2,"employment",0.813905274586955
2,"employment",0.813972013123891
2,"employment",0.813828265289362
2,"employment",0.813980775857161
2,"employment",0.813866484507107
2,"employment",0.813943477154555
2,"employment",0.813888196295729
2,"employment",0.814032243832863
2,"employment",0.813857498186181
2,"employment",0.813998741363237
2,"employment",0.813906333060436
2,"employment",0.81393670768146
2,"employment",0.813971273381751
2,"employment",0.813871458143173
2,"employment",0.813940568136426
2,"employment",0.813832851214916
2,"employment",0.813896174093608
2,"employment",0.813964187555906
2,"employment",0.813885223055613
2,"employment",0.813876548330251
2,"employment",0.813854365580395
2,"employment",0.813904358828999
2,"employment",0.813708369976337
2,"employment",0.81395046070094
2,"employment",0.813915842671622
2,"employment",0.813891276572489
2,"employment",0.813908904318488
2,"employment",0.813930285482809
2,"employment",0.813785191365155
2,"employment",0.81377424032716
2,"employment",0.813872709282614
2,"employment",0.813828077380586
2,"employment",0.813937656739705
2,"employment",0.813831512067568
2,"employment",0.813923937020514
2,"employment",0.813982990326399
2,"employment",0.813946976063524
2,"employment",0.813771695233621
2,"employment",0.813897701149731
2,"employment",0.813951526310197
2,"employment",0.813965916792358
2,"employment",0.81394050391444
2,"employment",0.813940962982713
2,"employment",0.8140366846643
2,"employment",0.813871729302671
2,"employment",0.813913989748382
2,"employment",0.814048149478186
2,"employment",0.813911251988884
2,"employment",0.813851963202381
2,"employment",0.813844325543172
2,"employment",0.81381965954317
2,"employment",0.813796463513082
2,"employment",0.813782356083381
2,"employment",0.813972600636138
2,"employment",0.813975224223217
2,"employment",0.813849365779816
2,"employment",0.813889806602576
2,"employment",0.814009119160537
2,"employment",0.813734739048277
2,"employment",0.813866477371331
2,"employment",0.813945684488017
2,"employment",0.813949050195829
2,"employment",0.813925254760533
2,"employment",0.813942038106339
2,"employment",0.813938815114054
2,"employment",0.813987875954558
2,"employment",0.813902032565932
2,"employment",0.81385522425214
2,"employment",0.813979068028038
2,"employment",0.813802253006236
2,"employment",0.813868882127936
2,"employment",0.813995285268926
2,"employment",0.81383058203806
2,"employment",0.813904772704023
2,"employment",0.813901442675093
2,"employment",0.813921900945683
2,"employment",0.813847546156865
2,"employment",0.813960564960149
2,"employment",0.813864819492642
2,"employment",0.813823710285504
2,"employment",0.813937632953784
2,"employment",0.813860923358794
2,"employment",0.813912795695152
2,"employment",0.81393877705658
2,"employment",0.813915029193127
2,"employment",0.813856461120028
2,"employment",0.813823477183479
2,"employment",0.813980224023795
2,"employment",0.813770482151654
2,"employment",0.813914491631314
2,"employment",0.813911708678565
2,"employment",0.81383547004481
2,"employment",0.8138663061127
3,"smoking_status_refined",0.813825798689362
3,"smoking_status_refined",0.813766638346832
3,"smoking_status_refined",0.814031173466421
3,"smoking_status_refined",0.813931298763041
3,"smoking_status_refined",0.813856839316171
3,"smoking_status_refined",0.813898914231699
3,"smoking_status_refined",0.813844951112892
3,"smoking_status_refined",0.814010579616082
3,"smoking_status_refined",0.813915875971912
3,"smoking_status_refined",0.814029306271628
3,"smoking_status_refined",0.813772863122339
3,"smoking_status_refined",0.813994419461405
3,"smoking_status_refined",0.81388841274761
3,"smoking_status_refined",0.813894254569789
3,"smoking_status_refined",0.813717908130629
3,"smoking_status_refined",0.813837927130442
3,"smoking_status_refined",0.81395705415822
3,"smoking_status_refined",0.813852964589652
3,"smoking_status_refined",0.813931869625143
3,"smoking_status_refined",0.813899033161303
3,"smoking_status_refined",0.813899832368247
3,"smoking_status_refined",0.813924579240379
3,"smoking_status_refined",0.813812119406236
3,"smoking_status_refined",0.813732467492828
3,"smoking_status_refined",0.814030141157453
3,"smoking_status_refined",0.814064216867773
3,"smoking_status_refined",0.813893479148767
3,"smoking_status_refined",0.814066959384455
3,"smoking_status_refined",0.814067023606442
3,"smoking_status_refined",0.813910457539125
3,"smoking_status_refined",0.813884580835748
3,"smoking_status_refined",0.813833700372293
3,"smoking_status_refined",0.813785293644615
3,"smoking_status_refined",0.813936610159184
3,"smoking_status_refined",0.81390167815571
3,"smoking_status_refined",0.814004778229968
3,"smoking_status_refined",0.813957365753785
3,"smoking_status_refined",0.813805164402957
3,"smoking_status_refined",0.81384701810942
3,"smoking_status_refined",0.813846785007395
3,"smoking_status_refined",0.813944706886667
3,"smoking_status_refined",0.813862709681456
3,"smoking_status_refined",0.813934550298432
3,"smoking_status_refined",0.81389556279544
3,"smoking_status_refined",0.813720141628604
3,"smoking_status_refined",0.813833983424752
3,"smoking_status_refined",0.814003515197567
3,"smoking_status_refined",0.813847848238061
3,"smoking_status_refined",0.813802740617615
3,"smoking_status_refined",0.813935040288403
3,"smoking_status_refined",0.813862338621089
3,"smoking_status_refined",0.813923083105953
3,"smoking_status_refined",0.813797079568434
3,"smoking_status_refined",0.813744084536609
3,"smoking_status_refined",0.81386297608377
3,"smoking_status_refined",0.813917131868537
3,"smoking_status_refined",0.813915255159376
3,"smoking_status_refined",0.813962603413573
3,"smoking_status_refined",0.813958885674132
3,"smoking_status_refined",0.813906694606434
3,"smoking_status_refined",0.813974141963814
3,"smoking_status_refined",0.81386183911675
3,"smoking_status_refined",0.814042172076258
3,"smoking_status_refined",0.814049360181562
3,"smoking_status_refined",0.814006978427654
3,"smoking_status_refined",0.813863240107493
3,"smoking_status_refined",0.813857957254455
3,"smoking_status_refined",0.813896854370946
3,"smoking_status_refined",0.81389202820759
3,"smoking_status_refined",0.813860233567087
3,"smoking_status_refined",0.813922200648286
3,"smoking_status_refined",0.813916139995634
3,"smoking_status_refined",0.813766136463901
3,"smoking_status_refined",0.81390899708358
3,"smoking_status_refined",0.814007658704992
3,"smoking_status_refined",0.81378029860122
3,"smoking_status_refined",0.813978494787344
3,"smoking_status_refined",0.81392666050846
3,"smoking_status_refined",0.813895020476443
3,"smoking_status_refined",0.814005879518107
3,"smoking_status_refined",0.814007789527558
3,"smoking_status_refined",0.813918989548961
3,"smoking_status_refined",0.813904449215498
3,"smoking_status_refined",0.813799377288396
3,"smoking_status_refined",0.81384989382726
3,"smoking_status_refined",0.813897867651178
3,"smoking_status_refined",0.814002437695349
3,"smoking_status_refined",0.813850126929286
3,"smoking_status_refined",0.813969130270275
3,"smoking_status_refined",0.813808551518097
3,"smoking_status_refined",0.813972365155521
3,"smoking_status_refined",0.814000480114057
3,"smoking_status_refined",0.813799144186371
3,"smoking_status_refined",0.813874726328708
3,"smoking_status_refined",0.813925226217428
3,"smoking_status_refined",0.81396193027201
3,"smoking_status_refined",0.81391086189978
3,"smoking_status_refined",0.813936495986763
3,"smoking_status_refined",0.813889380834591
3,"smoking_status_refined",0.813861834359566
4,"housing",0.813885910468728
4,"housing",0.813818270445388
4,"housing",0.814001295971145
4,"housing",0.813884476177696
4,"housing",0.813858052398138
4,"housing",0.813827782435167
4,"housing",0.813949621057931
4,"housing",0.813806410785214
4,"housing",0.813963435920805
4,"housing",0.813860093230154
4,"housing",0.813956704505183
4,"housing",0.813929048614921
4,"housing",0.81389308430248
4,"housing",0.813717154116936
4,"housing",0.814016093192553
4,"housing",0.813857619494378
4,"housing",0.813862269641919
4,"housing",0.813909206399684
4,"housing",0.81403637782592
4,"housing",0.813817913656574
4,"housing",0.813892901150888
4,"housing",0.814017698742216
4,"housing",0.813958790530448
4,"housing",0.813804555483382
4,"housing",0.81393882224983
4,"housing",0.813902719979047
4,"housing",0.813940078146455
4,"housing",0.813953481512897
4,"housing",0.813870240304021
4,"housing",0.813954525714826
4,"housing",0.81392999053739
4,"housing",0.813899268641921
4,"housing",0.813938141972491
4,"housing",0.814040521333345
4,"housing",0.81400631480046
4,"housing",0.813925528298624
4,"housing",0.813843740409517
4,"housing",0.813875687279914
4,"housing",0.813817877977693
4,"housing",0.814018685857934
4,"housing",0.813862597887628
4,"housing",0.813918525723503
4,"housing",0.813935482706532
4,"housing",0.813780519810285
4,"housing",0.813958999846552
4,"housing",0.81382831999698
4,"housing",0.81384213010267
4,"housing",0.813842867466219
4,"housing",0.813958802423409
4,"housing",0.813851066473162
4,"housing",0.814050944323895
4,"housing",0.813976235124856
4,"housing",0.813774052418385
4,"housing",0.814010919754752
4,"housing",0.813831060135071
4,"housing",0.813698869879519
4,"housing",0.814119776021874
4,"housing",0.813989407767865
