"step","stage_type","added_variable","auc"
1,"confounder","Sex + Ethnicity",0.499706069050034
1,"confounder","Sex + Ethnicity",0.500824773240253
1,"confounder","Sex + Ethnicity",0.500405327553443
1,"confounder","Sex + Ethnicity",0.50004475439952
1,"confounder","Sex + Ethnicity",0.499739450211463
1,"confounder","Sex + Ethnicity",0.499224430315777
1,"confounder","Sex + Ethnicity",0.499388037015688
1,"confounder","Sex + Ethnicity",0.500827560950186
1,"confounder","Sex + Ethnicity",0.499685653594102
1,"confounder","Sex + Ethnicity",0.501376934851466
1,"confounder","Sex + Ethnicity",0.499953173846767
1,"confounder","Sex + Ethnicity",0.499771960808185
1,"confounder","Sex + Ethnicity",0.500322871279958
1,"confounder","Sex + Ethnicity",0.500499272426736
1,"confounder","Sex + Ethnicity",0.498921614135048
1,"confounder","Sex + Ethnicity",0.500480595721625
1,"confounder","Sex + Ethnicity",0.499630051625343
1,"confounder","Sex + Ethnicity",0.501043380125124
1,"confounder","Sex + Ethnicity",0.499692587190052
1,"confounder","Sex + Ethnicity",0.500938688772756
1,"confounder","Sex + Ethnicity",0.501588948279056
1,"confounder","Sex + Ethnicity",0.500752445011898
1,"confounder","Sex + Ethnicity",0.500252043943214
1,"confounder","Sex + Ethnicity",0.500480445870323
1,"confounder","Sex + Ethnicity",0.50016736130753
1,"confounder","Sex + Ethnicity",0.500688803401866
1,"confounder","Sex + Ethnicity",0.499646121393522
1,"confounder","Sex + Ethnicity",0.49903077724055
1,"confounder","Sex + Ethnicity",0.500911889175648
1,"confounder","Sex + Ethnicity",0.499200903661388
1,"confounder","Sex + Ethnicity",0.501021373391082
1,"confounder","Sex + Ethnicity",0.500871847956359
1,"confounder","Sex + Ethnicity",0.500937038029844
1,"confounder","Sex + Ethnicity",0.500017935773675
1,"confounder","Sex + Ethnicity",0.50123179316197
1,"confounder","Sex + Ethnicity",0.499809147716963
1,"confounder","Sex + Ethnicity",0.499649016140098
1,"confounder","Sex + Ethnicity",0.500345805664916
1,"confounder","Sex + Ethnicity",0.501283815349629
1,"confounder","Sex + Ethnicity",0.500664848600901
1,"confounder","Sex + Ethnicity",0.500671373079011
1,"confounder","Sex + Ethnicity",0.50006427074764
1,"confounder","Sex + Ethnicity",0.501185922013463
1,"confounder","Sex + Ethnicity",0.501738007509729
1,"confounder","Sex + Ethnicity",0.501516553450123
1,"confounder","Sex + Ethnicity",0.49952197791502
1,"confounder","Sex + Ethnicity",0.500031757772326
1,"confounder","Sex + Ethnicity",0.499865360983889
1,"confounder","Sex + Ethnicity",0.499606910302874
1,"confounder","Sex + Ethnicity",0.499200903661388
1,"confounder","Sex + Ethnicity",0.499312038619735
1,"confounder","Sex + Ethnicity",0.500624448214206
1,"confounder","Sex + Ethnicity",0.500749110225784
1,"confounder","Sex + Ethnicity",0.501068702616543
1,"confounder","Sex + Ethnicity",0.499592160653307
1,"confounder","Sex + Ethnicity",0.501101734124934
1,"confounder","Sex + Ethnicity",0.499612209806056
1,"confounder","Sex + Ethnicity",0.500135733168473
1,"confounder","Sex + Ethnicity",0.4993777757694
1,"confounder","Sex + Ethnicity",0.499839127491699
1,"confounder","Sex + Ethnicity",0.498945806795223
1,"confounder","Sex + Ethnicity",0.499634706530069
1,"confounder","Sex + Ethnicity",0.500268458607246
1,"confounder","Sex + Ethnicity",0.499962153031917
1,"confounder","Sex + Ethnicity",0.500062341709453
1,"confounder","Sex + Ethnicity",0.500167121069729
1,"confounder","Sex + Ethnicity",0.499394832653297
1,"confounder","Sex + Ethnicity",0.500474620698288
1,"confounder","Sex + Ethnicity",0.500688953253168
1,"confounder","Sex + Ethnicity",0.500255982891719
2,"confounder","Baseline",0.813913753078469
2,"confounder","Baseline",0.813917234147997
2,"confounder","Baseline",0.813914993514245
2,"confounder","Baseline",0.813858146352526
2,"confounder","Baseline",0.813906360414245
2,"confounder","Baseline",0.813899828800358
2,"confounder","Baseline",0.813897058929866
2,"confounder","Baseline",0.813944027798625
2,"confounder","Baseline",0.813919299955229
2,"confounder","Baseline",0.813889020477889
2,"confounder","Baseline",0.813912240293898
2,"confounder","Baseline",0.813935992914536
2,"confounder","Baseline",0.813919861302963
2,"confounder","Baseline",0.813847077574223
2,"confounder","Baseline",0.813888506701997
2,"confounder","Baseline",0.813885699963328
2,"confounder","Baseline",0.813916486080783
2,"confounder","Baseline",0.81390330273411
2,"confounder","Baseline",0.813887380438641
2,"confounder","Baseline",0.813927076762076
2,"confounder","Baseline",0.813891124342595
2,"confounder","Baseline",0.813910387370658
2,"confounder","Baseline",0.813774705341914
2,"confounder","Baseline",0.813890695006723
2,"confounder","Baseline",0.813864758838544
2,"confounder","Baseline",0.813885476375671
