"source_variable","group","max_selection_proportion","selected"
"triglycerides","biological",0.96,TRUE
"employment","exposure",0.86,TRUE
"smoking_status_refined","exposure",0.84,TRUE
"housing","exposure",0.8,TRUE
"salt_added","exposure",0.78,TRUE
