"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural","dbp","grip_strength","whr","heel_bone_density","body_fat_mass","wbc","platelets","albumin","alp","alt","apoa1","apob","ast","bilirubin","total_cholesterol","creatinine","crp","cystatin_c","ggt","hba1c","hdl_cholesterol","ldl_direct","lpa","triglycerides","neutrophill_count","lymphocyte_count","monocyte_count"
0.16,0.1,0.18,0.01,0.11,0.27,0.03,0.04,0.08,0.03,0.07,0.04,0.74,0.42,0.53,0.1,0.06,0.06,0.07,0.09,0.32,0.17,0.27,0.08,0.5,0.04,0.06,0.16,0.02,0.07,0.08,0.74,0.03,0.06,0.22,0.04,0.07,0.15,0.12,0.07,0.36,0.03,0.17,0.09,0.19,0.03,0.05,0.19,0.03,0.28,0.06,0.34,0.03,0.09,0.06,0.18,0.06,0.31,0.07,0.04,0.13,0.2,0.19,0.2,0.1,0.72,0.13,0.12,0.3,0.07,0,0.28,0.8,0.08,0.06,0.2
0.16,0.1,0.17,0.01,0.11,0.27,0.02,0.04,0.08,0.03,0.07,0.04,0.73,0.42,0.53,0.1,0.06,0.06,0.07,0.09,0.31,0.17,0.27,0.07,0.5,0.04,0.06,0.16,0.02,0.07,0.07,0.74,0.03,0.05,0.22,0.04,0.07,0.15,0.11,0.06,0.36,0.03,0.17,0.07,0.18,0.02,0.05,0.19,0.02,0.27,0.06,0.33,0.03,0.09,0.06,0.17,0.06,0.31,0.07,0.04,0.13,0.2,0.2,0.2,0.1,0.72,0.13,0.12,0.29,0.07,0,0.28,0.79,0.08,0.06,0.2
0.15,0.1,0.16,0.01,0.11,0.26,0.02,0.04,0.08,0.03,0.07,0.04,0.73,0.42,0.52,0.1,0.05,0.06,0.07,0.09,0.3,0.15,0.27,0.07,0.48,0.04,0.06,0.15,0.02,0.07,0.07,0.73,0.03,0.05,0.22,0.04,0.07,0.15,0.11,0.06,0.36,0.03,0.16,0.07,0.17,0.02,0.05,0.18,0.02,0.27,0.06,0.33,0.03,0.09,0.06,0.17,0.06,0.29,0.07,0.04,0.12,0.2,0.2,0.2,0.1,0.72,0.11,0.12,0.29,0.06,0,0.27,0.79,0.08,0.06,0.2
0.15,0.1,0.16,0.01,0.11,0.26,0.02,0.04,0.08,0.03,0.07,0.04,0.71,0.42,0.52,0.1,0.05,0.06,0.07,0.09,0.29,0.15,0.27,0.07,0.47,0.04,0.06,0.15,0.02,0.07,0.07,0.73,0.03,0.05,0.21,0.04,0.07,0.15,0.11,0.06,0.34,0.03,0.16,0.07,0.16,0.02,0.05,0.18,0.02,0.27,0.06,0.33,0.03,0.09,0.06,0.17,0.06,0.29,0.07,0.04,0.12,0.2,0.2,0.19,0.1,0.72,0.11,0.12,0.29,0.06,0,0.27,0.79,0.07,0.06,0.2
0.15,0.1,0.16,0.01,0.1,0.26,0.02,0.04,0.08,0.03,0.07,0.04,0.71,0.42,0.52,0.1,0.05,0.06,0.07,0.09,0.28,0.15,0.25,0.07,0.46,0.03,0.06,0.15,0.02,0.07,0.07,0.73,0.02,0.05,0.2,0.04,0.06,0.15,0.1,0.06,0.34,0.03,0.15,0.07,0.15,0.02,0.05,0.18,0.02,0.26,0.06,0.33,0.03,0.08,0.06,0.15,0.06,0.29,0.07,0.03,0.12,0.2,0.2,0.19,0.08,0.71,0.1,0.12,0.29,0.06,0,0.27,0.77,0.07,0.06,0.2
0.15,0.1,0.16,0.01,0.09,0.26,0.02,0.04,0.08,0.03,0.07,0.04,0.71,0.41,0.52,0.1,0.05,0.06,0.07,0.08,0.28,0.15,0.25,0.07,0.46,0.03,0.06,0.15,0.02,0.07,0.07,0.73,0.02,0.05,0.2,0.04,0.06,0.13,0.1,0.06,0.34,0.03,0.15,0.07,0.15,0.02,0.05,0.18,0.02,0.24,0.06,0.33,0.03,0.08,0.06,0.14,0.05,0.29,0.07,0.03,0.11,0.18,0.2,0.19,0.08,0.71,0.1,0.12,0.28,0.06,0,0.26,0.77,0.07,0.06,0.19
0.15,0.1,0.15,0.01,0.08,0.26,0.02,0.04,0.08,0.03,0.07,0.04,0.7,0.39,0.5,0.1,0.05,0.06,0.07,0.08,0.27,0.15,0.24,0.07,0.45,0.03,0.06,0.15,0.02,0.07,0.07,0.73,0.02,0.05,0.2,0.04,0.05,0.13,0.1,0.06,0.34,0.03,0.15,0.07,0.15,0.02,0.04,0.18,0.02,0.23,0.06,0.33,0.03,0.07,0.06,0.14,0.05,0.29,0.07,0.03,0.11,0.18,0.2,0.19,0.08,0.71,0.1,0.12,0.28,0.06,0,0.26,0.77,0.07,0.06,0.18
0.13,0.1,0.15,0.01,0.08,0.26,0.02,0.04,0.08,0.03,0.07,0.04,0.7,0.37,0.5,0.1,0.05,0.06,0.07,0.08,0.27,0.14,0.24,0.07,0.45,0.03,0.06,0.15,0.02,0.07,0.07,0.71,0.02,0.05,0.2,0.04,0.05,0.13,0.1,0.06,0.34,0.03,0.15,0.06,0.15,0.02,0.04,0.18,0.02,0.23,0.06,0.33,0.01,0.07,0.06,0.14,0.05,0.27,0.07,0.03,0.09,0.17,0.2,0.18,0.08,0.71,0.1,0.11,0.27,0.06,0,0.26,0.77,0.07,0.06,0.18
0.13,0.1,0.14,0,0.08,0.26,0.02,0.04,0.07,0.03,0.07,0.04,0.7,0.36,0.5,0.1,0.05,0.06,0.07,0.08,0.26,0.14,0.24,0.07,0.45,0.03,0.06,0.15,0.01,0.07,0.07,0.7,0.02,0.04,0.18,0.04,0.04,0.13,0.1,0.06,0.33,0.03,0.15,0.06,0.15,0.02,0.04,0.18,0.02,0.23,0.06,0.33,0.01,0.07,0.06,0.14,0.05,0.27,0.07,0.03,0.09,0.17,0.2,0.18,0.08,0.71,0.09,0.11,0.26,0.06,0,0.25,0.77,0.07,0.06,0.17
0.13,0.1,0.14,0,0.08,0.25,0.02,0.04,0.07,0.03,0.06,0.04,0.7,0.36,0.49,0.1,0.04,0.06,0.06,0.08,0.25,0.14,0.24,0.06,0.44,0.03,0.06,0.14,0.01,0.07,0.07,0.7,0.02,0.04,0.18,0.04,0.04,0.13,0.1,0.05,0.32,0.03,0.15,0.06,0.15,0.01,0.04,0.18,0.02,0.22,0.06,0.33,0.01,0.07,0.06,0.13,0.05,0.26,0.07,0.03,0.09,0.15,0.22,0.18,0.08,0.71,0.09,0.11,0.25,0.06,0,0.25,0.77,0.07,0.06,0.17
0.13,0.1,0.13,0,0.08,0.25,0.02,0.04,0.07,0.02,0.05,0.04,0.7,0.36,0.49,0.09,0.03,0.06,0.06,0.08,0.24,0.14,0.23,0.06,0.43,0.03,0.06,0.14,0.01,0.07,0.07,0.7,0.02,0.04,0.18,0.04,0.03,0.13,0.1,0.04,0.3,0.03,0.15,0.06,0.15,0.01,0.04,0.18,0.02,0.22,0.06,0.33,0.01,0.07,0.06,0.13,0.05,0.26,0.07,0.03,0.09,0.15,0.23,0.16,0.08,0.7,0.09,0.11,0.25,0.06,0,0.25,0.77,0.07,0.06,0.16
0.13,0.09,0.13,0,0.08,0.24,0.02,0.04,0.07,0.02,0.05,0.04,0.69,0.36,0.49,0.08,0.03,0.06,0.06,0.08,0.24,0.14,0.22,0.06,0.42,0.03,0.06,0.14,0.01,0.07,0.07,0.7,0.02,0.03,0.16,0.04,0.03,0.13,0.1,0.04,0.3,0.03,0.14,0.06,0.15,0.01,0.04,0.17,0.02,0.22,0.05,0.33,0.01,0.07,0.06,0.11,0.05,0.26,0.06,0.03,0.08,0.15,0.23,0.16,0.08,0.7,0.09,0.11,0.25,0.06,0,0.24,0.77,0.07,0.06,0.16
0.13,0.09,0.13,0,0.08,0.24,0.02,0.04,0.06,0.02,0.05,0.04,0.69,0.36,0.47,0.08,0.03,0.06,0.06,0.08,0.24,0.13,0.21,0.06,0.41,0.03,0.06,0.13,0.01,0.07,0.07,0.7,0.02,0.03,0.16,0.04,0.03,0.12,0.1,0.04,0.3,0.03,0.14,0.06,0.14,0.01,0.04,0.17,0.02,0.21,0.04,0.32,0.01,0.07,0.06,0.11,0.05,0.26,0.06,0.03,0.08,0.13,0.25,0.16,0.08,0.7,0.09,0.11,0.25,0.06,0,0.24,0.77,0.07,0.06,0.15
0.12,0.09,0.13,0,0.08,0.24,0.02,0.04,0.06,0.02,0.05,0.04,0.69,0.35,0.46,0.07,0.02,0.06,0.06,0.08,0.23,0.13,0.21,0.06,0.41,0.03,0.05,0.13,0.01,0.07,0.07,0.69,0.02,0.03,0.16,0.04,0.03,0.1,0.09,0.04,0.29,0.03,0.14,0.06,0.14,0.01,0.04,0.17,0.02,0.2,0.04,0.3,0.01,0.07,0.06,0.11,0.04,0.25,0.05,0.03,0.08,0.13,0.25,0.16,0.08,0.7,0.09,0.11,0.25,0.06,0,0.24,0.76,0.07,0.05,0.15
0.12,0.09,0.12,0,0.07,0.23,0.02,0.04,0.06,0.02,0.05,0.04,0.69,0.35,0.46,0.07,0.02,0.06,0.06,0.08,0.23,0.13,0.19,0.06,0.41,0.03,0.05,0.13,0.01,0.07,0.07,0.68,0.02,0.02,0.16,0.04,0.03,0.1,0.09,0.04,0.29,0.03,0.14,0.06,0.14,0.01,0.04,0.17,0.02,0.2,0.04,0.29,0.01,0.06,0.05,0.11,0.04,0.24,0.05,0.03,0.08,0.12,0.25,0.16,0.08,0.7,0.08,0.1,0.25,0.06,0,0.24,0.74,0.07,0.05,0.15
0.12,0.07,0.12,0,0.07,0.21,0.02,0.04,0.06,0.02,0.05,0.04,0.69,0.35,0.45,0.07,0.02,0.06,0.06,0.07,0.22,0.12,0.19,0.06,0.41,0.01,0.05,0.12,0.01,0.07,0.07,0.68,0.02,0.02,0.15,0.04,0.03,0.1,0.08,0.04,0.29,0.03,0.14,0.06,0.14,0.01,0.04,0.17,0.02,0.2,0.04,0.28,0.01,0.06,0.05,0.11,0.04,0.24,0.05,0.03,0.07,0.12,0.25,0.15,0.08,0.7,0.08,0.1,0.25,0.06,0,0.24,0.73,0.07,0.05,0.14
0.12,0.07,0.12,0,0.07,0.21,0.02,0.04,0.06,0.02,0.04,0.03,0.67,0.35,0.45,0.07,0.02,0.06,0.06,0.07,0.22,0.12,0.19,0.06,0.41,0.01,0.04,0.11,0.01,0.07,0.06,0.66,0.02,0.02,0.14,0.04,0.03,0.09,0.07,0.04,0.28,0.02,0.14,0.06,0.14,0.01,0.04,0.17,0.02,0.2,0.04,0.28,0.01,0.06,0.05,0.1,0.04,0.24,0.05,0.03,0.07,0.1,0.24,0.15,0.08,0.72,0.08,0.1,0.24,0.06,0,0.24,0.72,0.07,0.05,0.12
0.12,0.06,0.12,0,0.07,0.2,0.02,0.04,0.06,0.02,0.04,0.03,0.66,0.35,0.45,0.07,0.02,0.06,0.05,0.07,0.22,0.12,0.19,0.06,0.41,0.01,0.04,0.11,0.01,0.04,0.06,0.65,0.02,0.02,0.14,0.04,0.03,0.09,0.07,0.04,0.28,0.02,0.14,0.06,0.14,0.01,0.04,0.15,0.02,0.19,0.04,0.28,0.01,0.06,0.05,0.1,0.03,0.24,0.05,0.03,0.07,0.1,0.25,0.15,0.08,0.72,0.08,0.1,0.23,0.05,0,0.24,0.71,0.07,0.04,0.12
0.12,0.06,0.12,0,0.06,0.2,0.02,0.04,0.06,0.02,0.04,0.03,0.66,0.35,0.44,0.07,0.02,0.06,0.05,0.07,0.22,0.12,0.18,0.06,0.41,0.01,0.04,0.11,0.01,0.04,0.06,0.65,0.02,0.02,0.14,0.04,0.03,0.07,0.06,0.04,0.28,0.02,0.14,0.06,0.14,0.01,0.04,0.14,0.02,0.19,0.04,0.28,0.01,0.06,0.05,0.09,0.03,0.23,0.05,0.03,0.07,0.1,0.25,0.15,0.08,0.71,0.08,0.1,0.22,0.05,0,0.24,0.71,0.07,0.04,0.12
0.11,0.06,0.11,0,0.06,0.2,0.02,0.04,0.06,0.02,0.03,0.03,0.66,0.35,0.43,0.07,0.02,0.06,0.05,0.07,0.21,0.12,0.17,0.06,0.41,0.01,0.04,0.1,0.01,0.04,0.05,0.65,0.02,0.02,0.14,0.04,0.03,0.07,0.06,0.04,0.28,0.02,0.14,0.06,0.13,0.01,0.04,0.14,0.02,0.19,0.04,0.27,0.01,0.06,0.05,0.08,0.03,0.21,0.05,0.02,0.07,0.1,0.27,0.15,0.08,0.71,0.08,0.1,0.22,0.04,0,0.24,0.71,0.06,0.04,0.1
0.11,0.06,0.11,0,0.06,0.2,0.02,0.04,0.06,0.01,0.03,0.03,0.64,0.35,0.43,0.07,0.02,0.05,0.04,0.07,0.21,0.12,0.17,0.05,0.4,0.01,0.03,0.1,0.01,0.03,0.04,0.63,0.02,0.02,0.13,0.04,0.03,0.06,0.06,0.04,0.28,0.02,0.12,0.06,0.13,0.01,0.04,0.12,0.02,0.18,0.04,0.27,0.01,0.06,0.05,0.07,0.02,0.21,0.05,0.02,0.07,0.1,0.27,0.15,0.08,0.7,0.07,0.1,0.22,0.04,0,0.24,0.71,0.06,0.04,0.1
0.1,0.06,0.11,0,0.06,0.2,0.02,0.04,0.06,0.01,0.03,0.03,0.63,0.35,0.43,0.07,0.02,0.05,0.04,0.07,0.19,0.11,0.17,0.05,0.39,0.01,0.03,0.1,0.01,0.03,0.04,0.61,0.02,0.02,0.13,0.04,0.03,0.06,0.05,0.04,0.27,0.02,0.11,0.05,0.13,0.01,0.03,0.11,0.02,0.18,0.04,0.27,0.01,0.06,0.05,0.07,0.01,0.21,0.05,0.02,0.06,0.1,0.28,0.15,0.08,0.7,0.07,0.1,0.22,0.04,0,0.24,0.69,0.06,0.04,0.1
0.1,0.05,0.11,0,0.06,0.19,0.02,0.04,0.06,0.01,0.03,0.03,0.63,0.34,0.42,0.07,0.02,0.05,0.04,0.07,0.19,0.11,0.17,0.05,0.39,0.01,0.03,0.1,0.01,0.03,0.04,0.6,0.02,0.02,0.12,0.03,0.03,0.05,0.05,0.04,0.27,0.02,0.1,0.05,0.12,0.01,0.03,0.11,0.02,0.18,0.04,0.27,0.01,0.06,0.05,0.07,0.01,0.21,0.05,0.02,0.05,0.09,0.28,0.15,0.08,0.69,0.07,0.1,0.22,0.04,0,0.24,0.68,0.06,0.04,0.1
0.1,0.05,0.11,0,0.06,0.19,0.02,0.04,0.05,0.01,0.02,0.03,0.62,0.34,0.42,0.07,0.02,0.04,0.03,0.07,0.17,0.09,0.17,0.05,0.38,0.01,0.03,0.1,0.01,0.03,0.04,0.59,0.02,0.02,0.12,0.03,0.03,0.04,0.04,0.04,0.27,0.02,0.1,0.04,0.11,0,0.03,0.11,0.02,0.17,0.04,0.27,0.01,0.06,0.05,0.07,0.01,0.21,0.05,0.02,0.05,0.09,0.28,0.15,0.08,0.69,0.07,0.1,0.22,0.04,0,0.24,0.68,0.06,0.04,0.09
0.1,0.05,0.11,0,0.06,0.19,0.02,0.04,0.04,0.01,0.02,0.03,0.61,0.34,0.41,0.07,0.02,0.04,0.03,0.07,0.17,0.09,0.17,0.05,0.37,0.01,0.03,0.1,0.01,0.03,0.04,0.59,0.02,0.02,0.12,0.03,0.03,0.04,0.04,0.04,0.27,0.02,0.1,0.04,0.11,0,0.03,0.11,0.02,0.17,0.04,0.27,0.01,0.06,0.05,0.07,0.01,0.21,0.05,0.01,0.05,0.09,0.28,0.15,0.08,0.67,0.07,0.1,0.22,0.04,0,0.24,0.68,0.06,0.04,0.09
0.1,0.05,0.11,0,0.06,0.19,0.02,0.02,0.04,0.01,0.02,0.03,0.61,0.34,0.39,0.07,0.02,0.04,0.03,0.07,0.17,0.09,0.17,0.05,0.37,0.01,0.03,0.1,0.01,0.03,0.04,0.58,0.02,0.02,0.12,0.03,0.03,0.04,0.04,0.04,0.27,0.02,0.1,0.03,0.11,0,0.03,0.11,0.02,0.17,0.04,0.26,0.01,0.05,0.05,0.07,0.01,0.21,0.05,0.01,0.05,0.08,0.28,0.14,0.06,0.67,0.07,0.1,0.22,0.04,0,0.24,0.67,0.06,0.04,0.09
0.1,0.05,0.1,0,0.06,0.19,0.02,0.02,0.04,0.01,0.02,0.03,0.61,0.34,0.39,0.07,0.02,0.04,0.02,0.07,0.17,0.09,0.16,0.05,0.36,0.01,0.03,0.08,0.01,0.03,0.04,0.57,0.02,0.02,0.11,0.02,0.03,0.04,0.04,0.04,0.27,0.02,0.09,0.03,0.11,0,0.03,0.11,0.02,0.17,0.04,0.26,0.01,0.05,0.05,0.07,0.01,0.21,0.05,0.01,0.05,0.08,0.28,0.13,0.06,0.67,0.07,0.09,0.22,0.04,0,0.24,0.67,0.06,0.03,0.09
0.1,0.05,0.09,0,0.05,0.19,0.02,0.02,0.04,0.01,0.02,0.03,0.61,0.34,0.39,0.06,0.02,0.04,0.02,0.07,0.17,0.09,0.16,0.05,0.36,0.01,0.03,0.08,0.01,0.03,0.04,0.55,0.02,0.02,0.11,0.02,0.03,0.04,0.04,0.04,0.25,0.02,0.09,0.03,0.1,0,0.02,0.1,0.02,0.16,0.04,0.26,0.01,0.05,0.05,0.07,0.01,0.2,0.05,0.01,0.05,0.08,0.28,0.13,0.06,0.67,0.07,0.09,0.21,0.04,0,0.23,0.67,0.05,0.03,0.09
