"V1"
0.84
0.84
0.84
0.84
0.84
0.84
0.84
0.84
0.84
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.77
0.83
0.8
0.76
0.76
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.79
0.79
0.79
0.79
0.79
0.79
0.79
0.79
0.79
0.79
0.79
0.79
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.85
0.84
0.84
0.84
0.84
0.84
0.84
