"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural"
0.37,0.95,0.52,0.29,0.32,0.37,0.8,0.17,0.34,0.32,0.62,0.38,0.46,0.31,0.22,0.29,0.56,0.54,0.1,0.95,0.25,0.38,0.22,0.23,0.25,0.9,0.48,0.55,0.66,0.32,0.82,0.51,0.17,0.46,0.66,0.79,0.28,0.16,0.34,0.19,0.22,0.23,0.65,0.22,0.8,0.58,0.57,0.54,0.26
0.39,0.96,0.59,0.35,0.33,0.42,0.81,0.21,0.4,0.32,0.65,0.45,0.46,0.44,0.29,0.32,0.6,0.61,0.13,0.98,0.31,0.41,0.26,0.26,0.31,0.91,0.53,0.59,0.7,0.37,0.86,0.53,0.24,0.53,0.67,0.82,0.35,0.2,0.4,0.25,0.26,0.26,0.65,0.28,0.84,0.6,0.61,0.57,0.29
0.4,0.96,0.65,0.38,0.41,0.45,0.83,0.24,0.44,0.34,0.73,0.54,0.5,0.48,0.31,0.33,0.61,0.65,0.17,0.99,0.36,0.46,0.31,0.3,0.41,0.93,0.55,0.64,0.75,0.44,0.89,0.56,0.26,0.53,0.7,0.83,0.4,0.25,0.45,0.28,0.29,0.3,0.69,0.31,0.85,0.62,0.65,0.6,0.33
0.44,0.97,0.71,0.45,0.45,0.47,0.83,0.29,0.46,0.36,0.79,0.58,0.52,0.53,0.36,0.37,0.63,0.68,0.22,1,0.41,0.49,0.37,0.34,0.48,0.93,0.57,0.68,0.77,0.48,0.93,0.58,0.28,0.59,0.71,0.88,0.43,0.28,0.47,0.36,0.32,0.33,0.72,0.35,0.87,0.71,0.66,0.61,0.39
0.48,0.97,0.73,0.52,0.46,0.5,0.86,0.35,0.49,0.37,0.81,0.63,0.54,0.59,0.4,0.41,0.64,0.77,0.28,1,0.44,0.51,0.43,0.35,0.51,0.96,0.61,0.7,0.81,0.54,0.95,0.62,0.32,0.63,0.74,0.91,0.47,0.34,0.49,0.42,0.37,0.36,0.74,0.4,0.88,0.76,0.69,0.62,0.39
0.5,0.97,0.77,0.55,0.55,0.57,0.88,0.36,0.5,0.39,0.84,0.71,0.59,0.62,0.43,0.48,0.72,0.83,0.36,1,0.47,0.51,0.45,0.38,0.54,0.97,0.66,0.72,0.82,0.58,0.97,0.62,0.34,0.67,0.8,0.93,0.51,0.38,0.58,0.48,0.38,0.37,0.77,0.42,0.89,0.8,0.72,0.65,0.43
0.55,0.97,0.8,0.56,0.61,0.62,0.88,0.37,0.54,0.4,0.85,0.81,0.61,0.66,0.46,0.51,0.79,0.84,0.45,1,0.5,0.52,0.46,0.39,0.57,0.97,0.69,0.73,0.84,0.6,0.97,0.63,0.38,0.69,0.83,0.93,0.58,0.45,0.6,0.51,0.43,0.39,0.8,0.49,0.9,0.81,0.76,0.72,0.46
0.58,0.98,0.84,0.64,0.63,0.65,0.9,0.37,0.58,0.43,0.85,0.85,0.62,0.68,0.48,0.55,0.83,0.87,0.51,1,0.56,0.56,0.49,0.42,0.62,0.97,0.69,0.74,0.87,0.66,0.97,0.65,0.42,0.72,0.84,0.94,0.62,0.51,0.61,0.52,0.45,0.43,0.82,0.52,0.93,0.84,0.79,0.73,0.5
0.61,0.98,0.88,0.69,0.64,0.67,0.9,0.39,0.63,0.45,0.89,0.87,0.65,0.73,0.54,0.61,0.85,0.89,0.62,1,0.58,0.58,0.55,0.49,0.67,0.97,0.71,0.77,0.89,0.7,0.98,0.68,0.46,0.75,0.85,0.95,0.66,0.57,0.66,0.55,0.48,0.49,0.84,0.59,0.93,0.86,0.81,0.75,0.54
0.66,0.99,0.9,0.71,0.66,0.71,0.9,0.4,0.68,0.47,0.9,0.89,0.72,0.75,0.59,0.66,0.87,0.9,0.63,1,0.63,0.61,0.56,0.51,0.69,0.97,0.71,0.8,0.89,0.75,0.98,0.68,0.47,0.77,0.86,0.97,0.7,0.61,0.7,0.57,0.51,0.52,0.85,0.63,0.93,0.88,0.85,0.76,0.58
