"display_label","estimate","conf.low","conf.high","p.value"
"Age",1.1496364132072,1.14717427677265,1.1521217573934,0
"Sex: Male",1.03020095510811,0.9966923991892,1.06475421319116,0.0774487110942156
"Ethnicity: South Asian",0.954826549302862,0.914776322862749,0.996718341438483,0.0346654160955841
"Ethnicity: Black",0.972069306001026,0.923039417999977,1.02363206099489,0.283023693175943
"Ethnicity: Mixed",0.994806985554105,0.945778498961546,1.04632999797814,0.83991029268054
"Ethnicity: Chinese",0.929739234234511,0.870314558626784,0.992827152487947,0.0301240848865313
"Ethnicity: Other",0.927287945804953,0.861816341652109,0.997142404207816,0.0424501310702882
"Smoking Status: Former Recent",1.0509801176699,0.964072005611344,1.14485291883274,0.256704104353998
"Smoking Status: Former Long",0.999433814422483,0.947843440120586,1.05398462686747,0.983312490020405
"Smoking Status: Current",1.00782276307045,0.961954074175185,1.05616433050662,0.743714013564973
"Diet Score",1.00051451468193,0.988598929911707,1.01256752903737,0.932920398886657
"Household Income: 18-31k",0.987587833798076,0.946697739894126,1.03020829523953,0.562476181394625
"Household Income: 31-52k",0.985373806728692,0.942683077777971,1.0299281414313,0.514053843710868
"Household Income: 52-100k",0.988376167498083,0.947722449560577,1.0307428031011,0.585201669628411
"Household Income: >100k",0.995789693641981,0.892978401613855,1.10830164164697,0.938959452863739
"Physical Activity",1.00000252772864,0.999995352025752,1.00000969095704,0.489541630547075
"Alcohol: Former drinker",0.992466242174076,0.876194325159738,1.12423890412796,0.905323760847362
"Alcohol: Social drinker",0.993034240414505,0.90574352761312,1.0902457626159,0.882489204063455
"Alcohol: Moderate drinker",0.994661696735494,0.903454593390555,1.09643204591177,0.913679715724117
"Alcohol: Daily drinker",0.998005570159628,0.910668261220748,1.09525052330957,0.966172331837194
"CRP",1.01199388579333,1.00715878063628,1.01684045513827,1.0331554408111e-06
"HbA1c",0.998784626693303,0.996520318898248,1.0010538125151,0.293595224741895
"HDL Cholesterol",0.998931567016101,0.959612255683491,1.03985903863669,0.958386564211147
